baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CmasM_1,CmasM_2,CmasM_3,pEhEx_1,pEhEx_2,pEhEx_3,CmasM_1.1,CmasM_2.1,CmasM_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_169350A,3284.17508,-2.742436997,1.049783183,-2.612384196,0.008991315,0.462399939,175,275,2699,1248,3834,14895,226.6188874,315.4523311,2018.969893,952.2572124,4648.279994,11543.47216,53.76,UP_pEhEx_DOWN_CmasM
EHI_174910A,879.0099024,-1.276574279,0.490575534,-2.602197198,0.009262857,0.462399939,263,466,889,940,1181,2045,340.5758137,534.5483137,665.0108317,717.2450157,1431.825423,1584.854016,53.76,UP_pEhEx_DOWN_CmasM
EHI_178620A,148.9974182,-2.503977966,0.940916419,-2.661211893,0.007785994,0.462399939,33,20,91,59,99,768,42.73384735,22.94198771,68.0719749,45.01857014,120.0260092,595.1921196,53.76,UP_pEhEx_DOWN_CmasM
EHI_025360A,523.1267275,-1.599779968,0.616934142,-2.593113037,0.00951115,0.464022722,180,199,424,545,379,1916,233.0937128,228.2727778,317.1705204,415.8495038,459.4935101,1484.88034,53.6,UP_pEhEx_DOWN_CmasM
EHI_141810A,440.5849552,-1.232937549,0.474835976,-2.596554624,0.009416393,0.464022722,142,248,428,537,448,1164,183.8850401,284.4806477,320.1626951,409.7452909,543.1480014,902.0880563,53.6,UP_pEhEx_DOWN_CmasM
EHI_005010A,149.7157071,-1.19125915,0.461881837,-2.579142659,0.009904587,0.473859424,49,114,106,198,190,314,63.45328848,130.76933,79.2926301,151.0792693,230.352947,243.3467781,52.61,UP_pEhEx_DOWN_CmasM
EHI_182590A,35525.21037,0.898926527,0.348606873,2.578625372,0.00991943,0.473859424,40769,32830,64555,27129,25888,28802,52794.43098,37659.27283,48289.95977,20700.14897,31386.19522,22321.25446,52.61,DOWN_pEhEx_UP_CmasM
EHI_079890A,95.75211733,-1.703654311,0.663614823,-2.56723366,0.010251351,0.479721376,22,35,88,92,89,338,28.48923156,40.1484785,65.82784386,70.19844835,107.9021699,261.9465318,52.03,UP_pEhEx_DOWN_CmasM
EHI_130670A,160.4145635,-1.131986044,0.440327405,-2.57078263,0.010146899,0.479721376,67,116,110,276,130,377,86.76265976,133.0635287,82.28480482,210.595345,157.6099111,292.1711316,52.03,UP_pEhEx_DOWN_CmasM
EHI_032670A,20.66441762,-2.523544399,0.986704782,-2.557547552,0.010541314,0.488307759,0,5,16,25,47,39,0,5.735496929,11.96869888,19.07566531,56.98204478,30.22459982,51.17,UP_pEhEx_DOWN_CmasM
EHI_073540A,27.77636966,2.589848142,1.014695288,2.552340759,0.010700181,0.490710301,42,40,57,20,7,0,54.38853298,45.88397543,42.63848977,15.26053225,8.486687521,0,50.93,DOWN_pEhEx_UP_CmasM
EHI_164400A,277.2864774,-0.881671834,0.346457484,-2.544819708,0.010933417,0.495525619,131,189,266,439,243,579,169.6404243,216.8017839,198.9796189,334.9686829,294.6092954,448.7190589,50.45,UP_pEhEx_DOWN_CmasM
EHI_182950A,46.39907955,-1.611031794,0.633759668,-2.542023224,0.011021285,0.495525619,11,23,37,42,58,139,14.24461578,26.38328587,27.67761617,32.04711772,70.31826803,107.7235737,50.45,UP_pEhEx_DOWN_CmasM
EHI_153070A,139638.0189,0.754983199,0.298407062,2.530044678,0.0114048,0.507790429,163058,131800,218903,142101,90199,121233,211154.4146,151187.699,163749.0057,108426.8447,109355.8182,93954.33104,49.22,DOWN_pEhEx_UP_CmasM
EHI_013220A,1344.048583,-1.246170516,0.49360412,-2.524635565,0.011581832,0.510714267,333,852,1313,1690,1738,2938,431.2233687,977.3286766,982.1813521,1289.514975,2107.123273,2276.919853,48.93,UP_pEhEx_DOWN_CmasM
EHI_075530A,53.6409979,-1.582728748,0.629419619,-2.514584389,0.011917278,0.520501295,7,23,59,92,78,100,9.064755497,26.38328587,44.13457713,70.19844835,94.56594666,77.49897391,47.95,UP_pEhEx_DOWN_CmasM
EHI_013250A,57.03375126,1.012838131,0.404741715,2.50243079,0.012334374,0.528648959,71,58,94,55,34,39,91.94252005,66.53176437,70.31610594,41.96646369,41.22105367,30.22459982,47.14,DOWN_pEhEx_UP_CmasM
EHI_128180A,14.47186677,-2.272492982,0.907452278,-2.504256187,0.012270915,0.528648959,6,1,8,14,16,54,7.769790426,1.147099386,5.984349441,10.68237257,19.39814291,41.84944591,47.14,UP_pEhEx_DOWN_CmasM
EHI_001060A,10.82427229,-2.171028112,0.890804271,-2.437155034,0.014803331,0.528971081,5,0,7,22,16,22,6.474825355,0,5.236305761,16.78658547,19.39814291,17.04977426,47.1,UP_pEhEx_DOWN_CmasM
EHI_007930A,152.1103372,-0.949253025,0.38044826,-2.49509099,0.012592483,0.528971081,63,94,162,201,186,288,81.58279948,107.8273423,121.1830762,153.3683491,225.5034113,223.1970449,47.1,UP_pEhEx_DOWN_CmasM
EHI_015440A,342.5791599,-1.168374858,0.472728006,-2.471558365,0.013452559,0.528971081,105,209,343,401,405,808,135.9713325,239.7437716,256.5789823,305.9736716,491.0154923,626.1917092,47.1,UP_pEhEx_DOWN_CmasM
EHI_033240A,10.26961388,-1.901605043,0.785849478,-2.419808242,0.015528694,0.528971081,2,5,6,12,18,23,2.589930142,5.735496929,4.488262081,9.15631935,21.82291077,17.824764,47.1,UP_pEhEx_DOWN_CmasM
EHI_044830A,38069.386,1.053611662,0.423319623,2.488927052,0.012812925,0.528971081,42643,40630,69947,36062,26602,18706,55221.19553,46606.64804,52323.4113,27516.2657,32251.83735,14496.95806,47.1,DOWN_pEhEx_UP_CmasM
