baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CmasM_1,CmasM_2,pEhEx_1,pEhEx_2,CmasM_1.1,CmasM_2.1,pEhEx_1.1,pEhEx_2.1,Certeza,DE,
EHI_140230A,14.35466828,-0.140718727,0.830601922,-0.169417772,0.865468045,0.999901938,11,14,24,12,13.05871539,14.3051641,16.55427778,13.50051583,0.01,UP_pEhEx_DOWN_CmasM
EHI_140240A,317.919804,-0.524884364,0.456653108,-1.149415946,0.250384508,0.999901938,190,289,410,416,225.5596295,295.299459,282.8022455,468.0178819,0.01,UP_pEhEx_DOWN_CmasM
EHI_140260A,348.9185902,-0.360538796,0.436280668,-0.826391867,0.408581836,0.999901938,196,370,541,366,232.6825652,378.0650513,373.1610117,411.7657327,0.01,UP_pEhEx_DOWN_CmasM
EHI_140270A,8.920000997,-0.381488976,1.015610134,-0.375625413,0.707195396,0.999901938,7,7,13,10,8.310091615,7.152582052,8.966900467,11.25042985,0.01,UP_pEhEx_DOWN_CmasM
EHI_140290A,32.79809894,0.055313522,0.635498965,0.087039516,0.930640102,0.999901938,29,32,57,22,34.4275224,32.69751795,39.31640974,24.75094568,0.01,DOWN_pEhEx_UP_CmasM
EHI_140300A,9.856557401,0.240348813,1.127356088,0.213196891,0.831173393,0.999901938,4,16,7,12,4.74862378,16.34875898,4.82833102,13.50051583,0.01,DOWN_pEhEx_UP_CmasM
EHI_140320A,57.4214791,-0.209362701,0.52708427,-0.397209161,0.691213227,0.999901938,38,60,89,55,45.11192591,61.30784616,61.38878012,61.8773642,0.01,UP_pEhEx_DOWN_CmasM
EHI_140330A,53.32807279,0.26552662,0.524990032,0.505774593,0.613014896,0.999901938,50,56,75,40,59.35779725,57.22065642,51.73211808,45.00171942,0.01,DOWN_pEhEx_UP_CmasM
EHI_140340A,111.4984123,0.181928001,0.443907674,0.409832971,0.681928478,0.999901938,100,116,164,85,118.7155945,118.5285026,113.1208982,95.62865376,0.01,DOWN_pEhEx_UP_CmasM
EHI_140350A,1557.760369,0.0604523,0.355806866,0.169902006,0.865087204,0.999901938,1434,1447,2238,1339,1702.381625,1478.54089,1543.686403,1506.432557,0.01,DOWN_pEhEx_UP_CmasM
