baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,UmasM_1,UmasM_2,pEhEx_1,pEhEx_2,UmasM_1.1,UmasM_2.1,pEhEx_1.1,pEhEx_2.1,Certeza,DE,
EHI_115300A,342.5701804,-0.082206435,0.533510666,-0.154085832,0.877542059,0.999745166,199,559,456,273,247.0873366,418.0920717,358.8566387,346.2446747,0.03,UP_pEhEx_DOWN_UmasM
EHI_115320A,91.34826609,-0.332938564,0.569055676,-0.585072038,0.55849928,0.999745166,70,100,117,88,86.91514352,74.7928572,92.0750586,111.610005,0.03,UP_pEhEx_DOWN_UmasM
EHI_115340A,8.593257546,0.259722422,1.170681236,0.221855799,0.82442614,0.999745166,11,7,10,6,13.65809398,5.235500004,7.869663129,7.609773069,0.03,DOWN_pEhEx_UP_UmasM
EHI_115360A,78.09373599,-0.962087075,0.803163789,-1.197871578,0.230967016,0.999745166,13,119,107,97,16.1413838,89.00350007,84.20539548,123.0246646,0.03,UP_pEhEx_DOWN_UmasM
EHI_115370A,62.46367647,-0.397346316,0.648099221,-0.613094883,0.539813603,0.999745166,31,92,78,64,38.49099213,68.80942862,61.3833724,81.17091274,0.03,UP_pEhEx_DOWN_UmasM
EHI_115380A,57.25284962,0.07595468,0.616470237,0.123208998,0.9019416,0.999745166,49,76,77,40,60.84060047,56.84257147,60.59640609,50.73182046,0.03,DOWN_pEhEx_UP_UmasM
EHI_115390A,86.00145428,-0.067914637,0.658718597,-0.103101138,0.917882702,0.999745166,39,159,102,76,48.42415139,118.9206429,80.27056391,96.39045888,0.03,UP_pEhEx_DOWN_UmasM
EHI_115400A,200.4129696,0.741994878,0.804277675,0.92256058,0.356236247,0.999745166,350,90,144,147,434.5757176,67.31357148,113.3231491,186.4394402,0.03,DOWN_pEhEx_UP_UmasM
EHI_115500A,31.16080055,0.605048403,0.748825945,0.807996047,0.419092858,0.999745166,27,56,40,14,33.5244125,41.88400003,31.47865251,17.75613716,0.03,DOWN_pEhEx_UP_UmasM
EHI_115510A,424.7178054,0.411368088,0.574411789,0.716155371,0.473895417,0.999745166,525,426,542,238,651.8635764,318.6175717,426.5357416,301.8543318,0.03,DOWN_pEhEx_UP_UmasM
EHI_115710A,22.9835784,0.724814907,0.842232008,0.860588175,0.389464901,0.999745166,29,29,29,9,36.00770232,21.68992859,22.82202307,11.4146596,0.03,DOWN_pEhEx_UP_UmasM
EHI_115820A,205.5937515,0.539190455,0.633611276,0.850979891,0.394780523,0.999745166,288,174,227,123,357.5937334,130.1395715,178.641353,156.0003479,0.03,DOWN_pEhEx_UP_UmasM
EHI_116040A,15.9122383,-2.30970266,1.271036731,-1.817180104,0.06918954,0.999745166,9,0,28,24,11.17480417,0,22.03505676,30.43909228,0.03,UP_pEhEx_DOWN_UmasM
EHI_116360A,188129.1461,0.071429113,0.521107072,0.137071855,0.890973999,0.999745166,200152,183244,242646,138762,248517.7115,137053.4232,190954.228,175991.2218,0.03,DOWN_pEhEx_UP_UmasM
EHI_116470A,182.8800906,-0.047756489,0.558449703,-0.085516187,0.931851027,0.999745166,184,176,227,152,228.462663,131.6354287,178.641353,192.7809178,0.03,UP_pEhEx_DOWN_UmasM
EHI_116720A,234.0987064,-0.452254096,0.582493721,-0.776410251,0.437506794,0.999745166,104,355,300,241,129.1310704,265.5146431,236.0898939,305.6592183,0.03,UP_pEhEx_DOWN_UmasM
EHI_116830A,1922.118942,-0.722484736,0.594592888,-1.215091452,0.224331213,0.999745166,1526,1346,1970,2552,1894.750129,1006.711858,1550.323636,3236.690146,0.03,UP_pEhEx_DOWN_UmasM
EHI_117260A,14.96741928,0.166376663,0.967698667,0.171930239,0.863492373,0.999745166,8,29,23,8,9.93315926,21.68992859,18.1002252,10.14636409,0.03,DOWN_pEhEx_UP_UmasM
EHI_117270A,187.9635113,2.703648399,3.743932287,0.722141372,0.470207564,0.999745166,525,0,119,5,651.8635764,0,93.64899123,6.341477558,0.03,DOWN_pEhEx_UP_UmasM
EHI_117470A,3832.234312,-0.547227469,0.534385504,-1.024031275,0.305820503,0.999745166,3182,3045,4726,4243,3950.914096,2277.442502,3719.202795,5381.377856,0.03,UP_pEhEx_DOWN_UmasM
EHI_117570A,26.90900844,0.011093307,0.802166712,0.01382918,0.988966263,0.999745166,27,28,45,14,33.5244125,20.94200002,35.41348408,17.75613716,0.03,DOWN_pEhEx_UP_UmasM
