CmasM_1	CmasM_2	pEhEx_1	pEhEx_2
EHI_006970A	0	15.7867602830084	10.8753398707747	14.5409800937297
EHI_006980A	4317.34089319144	5063.34024810354	5225.96331923626	7319.7056717975
EHI_007000A	270.209096235904	215.752390534447	189.955936409531	170.017613403609
EHI_007020A	14.4111517992482	16.8392109685422	23.2007250576527	17.8965908845905
EHI_007030A	67.2520417298249	77.8813507295079	101.50317212723	92.838565213813
EHI_007140A	21.6167276988723	31.5735205660167	32.626019612324	45.860014141763
EHI_007150A	194.550549289851	224.171996018719	163.13009806162	166.662002612749
EHI_007260A	8.40650521622811	6.31470411320334	13.0504078449296	27.9634232571726
EHI_007270A	15.6120811158522	11.5769575408728	21.0256570834977	13.4224431634428
EHI_007310A	61.2473951468048	49.4651822200928	48.5765180894602	59.2824573052059
EHI_007320A	12.0092931660402	43.1504781068895	27.5508610059625	61.5195311657797
EHI_007330A	1572.01647543466	1712.33726536364	1581.99943986869	1978.69182967753
EHI_007340A	7.2055758996241	7.36715479873723	11.6003625288263	16.7780539543036
EHI_007350A	9165.49254432185	6509.40749002711	5344.86703515673	5563.60269124706
EHI_007360A	246.190509903823	214.699939848914	200.831276280306	159.950781031027
EHI_007460A	79.2613348958651	104.192617867855	129.054033133193	105.142471446969
EHI_007480A	142.910588675878	212.595038477846	174.730460590447	197.981036660782
EHI_007490A	19.2148690656643	16.8392109685422	19.5756117673944	31.3190340480333
EHI_007500A	159.723599108334	156.81515214455	143.554486294226	112.972229958977
EHI_007510A	45133.3255766121	41518.1270936264	26980.9931967339	17471.5468510814
EHI_007620A	11219.0816757147	9787.79137546518	6430.22595426004	4197.86909936675
EHI_007630A	205.358913139287	125.241631578533	136.304259713709	53.6897726537714
EHI_007640A	20.4157983822683	48.4127315345589	10.8753398707747	39.1487925600416
EHI_007770A	777.001267842798	849.327703225849	748.223383109298	504.460155559394
EHI_007920A	57.6446071969928	45.2553794779573	60.1768806182866	50.3341618629107
EHI_007930A	75.658546946053	98.9303644401857	145.729554268381	208.047869033364
EHI_007940A	88.8687694286972	626.208157892665	640.920029717655	709.152413801897
EHI_007950A	14.4111517992482	8.41960548427112	9.42529455467139	6.71122158172142
EHI_007970A	32.4250915483084	23.1539150817456	31.1759742962208	38.0302556297547
