pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_138470A	732.809064565852	196.411666291272	1.05543866996793	0.970660238951763	1.89955672496997	91	246	574	973	104.401381874127	284.941567348759	408.806669767761	1068.48990711516	97.07	UP_pEhEx_DOWN_U2AF84
EHI_086080A	445.267422858703	155.122772473886	0.912530506464671	0.968667338650893	1.52126156986553	109	158	372	576	125.052204662416	183.011250573593	264.940907933114	632.528454777321	96.87	UP_pEhEx_DOWN_U2AF84
EHI_032670A	34.4276995492452	5.78431568428994	0.917057949280671	0.968653294563772	2.57335158764199	6	4	25	47	6.88360759609627	4.63319621705299	17.805168543892	51.6125648863439	96.87	UP_pEhEx_DOWN_U2AF84
EHI_194730A	20.2645101129331	67.8255811912989	-1.0958041258439	0.968547242530118	-1.74287420569886	59	58	31	17	67.68880802828	67.1813451472684	22.0784089944261	18.6683745333584	96.85	DOWN_pEhEx_UP_U2AF84
EHI_066770A	1098.74208537484	506.950062049075	1.17311176063656	0.96847834166672	1.11593722887803	287	584	1430	1086	329.265896679938	676.446647689737	1018.45564071062	1192.57969077807	96.85	UP_pEhEx_DOWN_U2AF84
EHI_174180A	1098.74208537484	506.950062049075	1.17311176063656	0.96847834166672	1.11593722887803	287	584	1430	1086	329.265896679938	676.446647689737	1018.45564071062	1192.57969077807	96.85	UP_pEhEx_DOWN_U2AF84
EHI_153250A	44.2787266257225	8.66316212597895	0.908604357664621	0.968469995935571	2.35364811163379	10	5	42	54	11.4726793268271	5.79149527131624	29.9126831537386	59.2995426353739	96.85	UP_pEhEx_DOWN_U2AF84
EHI_118670A	147.970726059061	40.0901509877103	0.921528137250487	0.968373324787135	1.88399203092837	28	41	138	182	32.1235021151159	47.4902612247932	98.2845303622841	199.861421474779	96.84	UP_pEhEx_DOWN_U2AF84
EHI_105280A	107.601079460436	39.4637983776399	0.90673426150204	0.968318671702711	1.44709082438847	31	37	136	109	35.5653059131641	42.8570650077402	96.8601168787727	119.697224949181	96.83	UP_pEhEx_DOWN_U2AF84
EHI_182550A	220.062041491866	66.8790381816449	0.922112775712561	0.968309787021102	1.71828431156174	42	73	220	261	48.1852531726739	84.5558309612171	156.68548318625	286.614456070974	96.83	UP_pEhEx_DOWN_U2AF84
EHI_077770A	116.538332981724	32.9466388796319	0.905403324998149	0.96817182523715	1.82260138067086	36	21	126	132	41.3016455765776	24.3242801395282	89.7380494612159	144.954437553136	96.82	UP_pEhEx_DOWN_U2AF84
EHI_156310A	620.51367384784	159.214389934348	0.904242440249686	0.968029076438205	1.96249226861795	110	164	266	968	126.199472595098	189.961044899173	189.446993307011	1062.999208723	96.8	UP_pEhEx_DOWN_U2AF84
EHI_025230A	964.92737049434	480.734281863387	0.90388296410494	0.967985170927631	1.00518066784144	274	552	1089	1063	314.351413555063	639.381077953313	775.593141771937	1167.32247817412	96.8	UP_pEhEx_DOWN_U2AF84
EHI_160740A	964.92737049434	480.734281863387	0.90388296410494	0.967985170927631	1.00518066784144	274	552	1089	1063	314.351413555063	639.381077953313	775.593141771937	1167.32247817412	96.8	UP_pEhEx_DOWN_U2AF84
EHI_000130A	283.883448643301	73.6897652783245	1.04080262845734	0.967623505862521	1.94576257414925	59	68	236	368	67.68880802828	78.7643356899009	168.080791054341	404.115401663288	96.76	UP_pEhEx_DOWN_U2AF84
EHI_051690A	69.2259110904991	11.0887041635249	0.927652618074053	0.967589216676986	2.64222135555872	4	15	77	77	4.58907173073085	17.3744858139487	54.8399191151875	84.5567552393294	96.76	UP_pEhEx_DOWN_U2AF84
EHI_039020A	826.524972674397	107.634759192153	1.03879760300661	0.967238666402371	2.94091435782717	20	164	248	1359	22.9453586536542	189.961044899173	176.627271955409	1492.37182299024	96.72	UP_pEhEx_DOWN_U2AF84
EHI_035510A	124.418534874288	48.1668947049867	0.931869619116105	0.966843200894004	1.36908760037584	38	45	168	119	43.596181441943	52.1234574418462	119.650732614955	130.678621733509	96.68	UP_pEhEx_DOWN_U2AF84
EHI_201940A	193.456960644794	84.5921098354661	0.896976724548056	0.966830071737613	1.19341762819615	77	69	246	195	88.3396308165688	79.9226347441641	175.202858471898	214.137237294406	96.68	UP_pEhEx_DOWN_U2AF84
EHI_062500A	130.283704336479	40.0502167863424	1.03254704198559	0.966156870408493	1.70177468847672	31	38	157	137	35.5653059131641	44.0153640620034	111.816458455642	150.4451359453	96.62	UP_pEhEx_DOWN_U2AF84
EHI_180390A	151.267324426854	15.7268058313216	0.937501671471319	0.965639008492612	3.26580279235225	8	19	19	266	9.17814346146169	22.0076820310017	13.5319280933579	292.105154463138	96.56	UP_pEhEx_DOWN_U2AF84
EHI_083100A	87.3794167890742	12.8080251882647	1.02841607544759	0.965524154279725	2.77024542642167	7	15	70	115	8.03087552877898	17.3744858139487	49.8544719228977	126.286063019778	96.55	UP_pEhEx_DOWN_U2AF84
EHI_028990A	508.329971434213	127.933826477632	1.17696024249609	0.965074904639195	1.99036752348822	81	139	450	641	92.9287025472996	161.003568542591	320.493033790057	703.907533875456	96.51	UP_pEhEx_DOWN_U2AF84
