logFC	logCPM	PValue	FDR	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_151350A	-1.70638535354227	2.81031197886752	0.00048219254335451	0.0259397670481846	12	28	99	75	1.8544434444004	4.36863967183797	9.37234472503964	11.0432350708801	97.41	UP_pEhEx_DOWN_U2AF84
EHI_068610A	1.11046596617184	3.93992896341018	0.000490459598031483	0.0260880419896746	124	143	96	69	19.1625822588042	22.3112668954582	9.08833427882632	10.1597762652097	97.39	DOWN_pEhEx_UP_U2AF84
EHI_007930A	-1.22820037010244	4.07461303950874	0.000522000606109344	0.0270925602203436	66	61	201	186	10.1994389442022	9.51739357078986	19.0286998962926	27.3872229757827	97.29	UP_pEhEx_DOWN_U2AF84
EHI_049660A	-1.3779658797323	3.58050793431367	0.00052651363334846	0.0270925602203436	43	40	137	141	6.64508900910145	6.24091381691138	12.9698103770751	20.7612819332546	97.29	UP_pEhEx_DOWN_U2AF84
EHI_092930A	-1.44079859988613	5.86903707223288	0.000515963745819058	0.0270925602203436	136	266	814	630	21.0170257032046	41.5020768824607	77.0615010725482	92.7631745953929	97.29	UP_pEhEx_DOWN_U2AF84
EHI_014400A	-1.01434196729778	6.05508019358113	0.000537149943668706	0.0273426648744909	282	282	850	656	43.5794209434095	43.9984424092252	80.469626427108	96.5914960866313	97.27	UP_pEhEx_DOWN_U2AF84
EHI_012570A	-1.25915448424546	4.03895658123498	0.000550981476196116	0.027748364982047	66	56	195	184	10.1994389442022	8.73727934367593	18.460679003866	27.0927367072259	97.23	UP_pEhEx_DOWN_U2AF84
EHI_187800A	-1.60722674513828	2.047784146983	0.00055793979503766	0.0278030209442977	13	11	49	47	2.00898039810044	1.71625129965063	4.63883728815093	6.92042731108487	97.22	UP_pEhEx_DOWN_U2AF84
EHI_104360A	-1.47602283522526	6.5583711195623	0.000579750595513938	0.0280055032567651	265	374	1006	1231	40.9522927305089	58.3525441881214	95.2381696302008	181.256298296712	97.2	UP_pEhEx_DOWN_U2AF84
EHI_152290A	2.08384553302031	1.03573826823842	0.000573224069347562	0.0280055032567651	24	15	6	6	3.70888688880081	2.34034268134177	0.568020892426645	0.883458805670409	97.2	DOWN_pEhEx_UP_U2AF84
EHI_188170A	-1.28373506148495	5.50630257749435	0.000578616714595328	0.0280055032567651	154	184	510	542	23.7986908698052	28.7082035577924	48.2817758562648	79.8057787788936	97.2	UP_pEhEx_DOWN_U2AF84
EHI_001940A	-1.26707593341443	6.77573036420816	0.000647656179336346	0.0300588662056692	336	489	1316	1251	51.9244164432113	76.2951714117416	124.585915738911	184.20116098228	96.99	UP_pEhEx_DOWN_U2AF84
EHI_017030A	-1.5596160178475	3.64188514005404	0.000645206083187058	0.0300588662056692	30	49	142	156	4.63610861100101	7.64511942571644	13.4431611207639	22.9699289474306	96.99	UP_pEhEx_DOWN_U2AF84
EHI_166370A	1.32987613598001	3.06925236231484	0.000632400601652464	0.0300588662056692	77	75	60	24	11.8993454349026	11.7017134067088	5.68020892426645	3.53383522268163	96.99	DOWN_pEhEx_UP_U2AF84
EHI_181610A	1.1731205814206	4.3741506014668	0.00064568941811494	0.0300588662056692	151	216	139	82	23.3350800087051	33.7009346113215	13.1591506745506	12.0739370108289	96.99	DOWN_pEhEx_UP_U2AF84
EHI_048140A	-2.18943594115006	7.10099548258706	0.000676405717542621	0.0304962349223502	181	452	1320	2204	27.9711886197061	70.5223261310986	124.964596333862	324.523867949597	96.95	UP_pEhEx_DOWN_U2AF84
EHI_105140A	-1.38684059259891	9.90061314500213	0.000674091143914577	0.0304962349223502	2523	4277	11325	11496	389.896734185185	667.30970987325	1072.13943445529	1692.7070716645	96.95	UP_pEhEx_DOWN_U2AF84
EHI_167270A	-1.38684059259891	9.90061314500213	0.000674091143914577	0.0304962349223502	2523	4277	11325	11496	389.896734185185	667.30970987325	1072.13943445529	1692.7070716645	96.95	UP_pEhEx_DOWN_U2AF84
EHI_144610A	-1.3633458890974	7.26014704681708	0.000694216018813875	0.0307141928323821	484	618	1654	1930	74.7958855908163	96.4221184712809	156.584426012278	284.179249157315	96.93	UP_pEhEx_DOWN_U2AF84
EHI_186950A	-1.11329259197646	4.79563167432845	0.00069253645001634	0.0307141928323821	93	130	376	268	14.3719366941031	20.282969904962	35.5959759254031	39.4611599866116	96.93	UP_pEhEx_DOWN_U2AF84
EHI_098800A	-1.05222710488512	5.81937176630726	0.000709371645838708	0.0310941238092634	219	251	699	580	33.8435928603074	39.1617342011189	66.1744339677041	85.4010178814728	96.89	UP_pEhEx_DOWN_U2AF84
EHI_135060A	-1.79340138915151	7.31560845645926	0.000725594190095182	0.0315134210633999	282	633	1817	2184	43.5794209434095	98.7624611526226	172.015660256536	321.579005264029	96.85	UP_pEhEx_DOWN_U2AF84
EHI_174880A	-2.30594520021196	1.14470081185707	0.000764237060552238	0.0328899840423118	3	5	24	28	0.463610861100101	0.780114227113923	2.27208356970658	4.12280775979524	96.71	UP_pEhEx_DOWN_U2AF84
EHI_027520A	-1.3229774870129	3.11532498011611	0.000785434999895693	0.0334977413469028	25	36	112	90	3.86342384250084	5.61682243522024	10.6030566586307	13.2518820850561	96.65	UP_pEhEx_DOWN_U2AF84
EHI_044820A	-1.37538123361432	4.42263895521684	0.000797813853056304	0.0336437393164302	64	87	238	262	9.89036503680215	13.5739875517823	22.5314953995903	38.5777011809412	96.64	UP_pEhEx_DOWN_U2AF84
EHI_055430A	-1.52222230107583	3.15950016171674	0.000803071935521043	0.0336437393164302	24	33	100	110	3.70888688880081	5.14875389895189	9.46701487377742	16.1967447706242	96.64	UP_pEhEx_DOWN_U2AF84
EHI_005010A	-1.23698160965743	4.08102034880227	0.000879572978351475	0.0352872752501346	57	70	198	190	8.80860636090192	10.9215991795949	18.7446894500793	27.9761955128963	96.47	UP_pEhEx_DOWN_U2AF84
EHI_019860A	-1.47820586227697	1.58398060979183	0.000850175330180885	0.0352872752501346	8	10	41	27	1.23629562960027	1.56022845422785	3.88147609824874	3.97556462551684	96.47	UP_pEhEx_DOWN_U2AF84
EHI_027610A	-1.28286184977855	6.32056262213468	0.000864344804364831	0.0352872752501346	212	384	1143	797	32.7618341844071	59.9127726423493	108.207980007276	117.352778019886	96.47	UP_pEhEx_DOWN_U2AF84
EHI_028920A	2.47546232861165	0.711298805504523	0.000875269042571433	0.0352872752501346	15	17	8	0	2.3180543055005	2.65238837218734	0.757361189902193	0	96.47	DOWN_pEhEx_UP_U2AF84
EHI_040310A	-0.949157096673593	7.05301220987153	0.000878886415215856	0.0352872752501346	584	580	1757	1241	90.2495809608197	90.493250345215	166.335451332269	182.728729639496	96.47	UP_pEhEx_DOWN_U2AF84
EHI_097930A	-1.41868845545948	3.22402434384223	0.000963374124969853	0.0383244798958595	32	31	103	113	4.94518251840108	4.83670820810632	9.75102531999074	16.6384741734594	96.17	UP_pEhEx_DOWN_U2AF84
EHI_064640A	-1.00329298935746	4.10031154382377	0.000977715763855333	0.0385708868840929	74	70	230	157	11.4357345738025	10.9215991795949	21.7741342096881	23.117172081709	96.14	UP_pEhEx_DOWN_U2AF84
EHI_004560A	-2.82127534551331	0.397779644280394	0.00100502616094073	0.0392265648974371	3	0	17	13	0.463610861100101	0	1.60939252854216	1.91416074561922	96.08	UP_pEhEx_DOWN_U2AF84
EHI_170120A	-1.12774533554212	4.7267471561974	0.00101090851657949	0.0392265648974371	86	125	346	265	13.2901780182029	19.5028556778481	32.7558714632699	39.0194305837764	96.08	UP_pEhEx_DOWN_U2AF84
EHI_032670A	-2.5347070165207	1.57574355050833	0.00107185272626214	0.0412532585863819	6	4	25	47	0.927221722200202	0.624091381691138	2.36675371844435	6.92042731108487	95.87	UP_pEhEx_DOWN_U2AF84
EHI_022010A	-1.14421833588283	8.57797625975999	0.00110035501550499	0.0416726451472049	1177	1883	5923	3332	181.88999450494	293.791017931103	560.731290973836	490.614123415634	95.83	UP_pEhEx_DOWN_U2AF84
EHI_103310A	-1.49180147829512	8.04162336630224	0.0010993150235593	0.0416726451472049	585	1190	3240	3191	90.4041179145197	185.667186053114	306.731281910388	469.852841482379	95.83	UP_pEhEx_DOWN_U2AF84
EHI_068430A	2.48246123441337	0.267922576705244	0.00111128019246407	0.0417523843740071	13	9	2	3	2.00898039810044	1.40420560880506	0.189340297475548	0.441729402835204	95.82	DOWN_pEhEx_UP_U2AF84
EHI_176820A	-1.49247015335056	6.89374429358319	0.00114839367103827	0.0423941945542364	413	388	1125	1655	63.8237618781139	60.5368640240404	106.503917329996	243.687387230754	95.76	UP_pEhEx_DOWN_U2AF84
