NOISeq_CmasM_1	NOISeq_CmasM_2	NOISeq_CmasM_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_CmasM_1	DESeq2_CmasM_2	DESeq2_CmasM_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_025360A	343.712420908539	333.952724313533	212.83368714549	629.072551424549	672.959225820207	1054.36270321823	233.093712792132	228.272777759509	317.17052039607	415.849503804596	459.493510070938	1484.88034007151
EHI_025450A	2433.30558590737	1923.68645910244	2576.82948633082	1480.53136094393	967.785737604893	936.27512018639	3080.72190406935	2454.79268545402	1612.78217446681	1820.5814973904	1228.1449226962	549.467725005585
EHI_025480A	43.7378497044052	36.961481360884	218.665264351268	35.0076629887435	14.2104166368065	4.33918099289874	88.0576248325833	74.5614600722015	66.5758875359674	67.9093685112093	26.6724464948829	0
EHI_025600A	109887.502055713	98349.2155780021	244851.433569883	65296.1291707831	78238.8379122835	28875.7718621086	119843.837467004	108129.029396707	189611.119877156	69196.5944064723	85618.5532485742	21005.3218879427
EHI_025850A	9355.04847766188	10993.3816190827	34814.9936285585	7442.77850218642	6167.08847326402	1787.45916135529	14466.0548088939	17137.6648227491	16449.4805271452	11182.9180325875	9568.13398807346	792.039513336682
EHI_026310A	347.276093058244	252.396378845909	565.870787384433	177.558834569357	172.71584876111	87.2600184000764	385.899591178086	282.186448888639	421.896635621187	190.756653121374	191.556661190523	59.6742099089281
EHI_028990A	56.0153541125146	327.250967383114	211.809208488375	410.911759835521	898.163231904675	379.953885756294	46.6187425584264	283.333548274366	225.909191414182	343.361975618474	777.138100146362	382.069941364955
EHI_029560A	50.2772782760747	42.7698355794163	33.5075799813547	69.756934589567	129.297794981941	134.35005492602	32.374126776685	27.5303852574282	48.6228392116616	44.2555435241589	86.0792591425767	189.872486073862
EHI_029600A	126.954247117186	109.993652001792	559.350181005495	75.1698605856585	67.6700288649509	13.9331381785165	247.338328573874	215.654684516521	186.262876364673	141.159923309817	130.937464611243	3.09995895630795
EHI_030150A	17.8574248974354	18.921445829162	39.892721626673	5.2916979088631	9.29565626129994	3.54563807830231	18.1295109949436	19.500689557345	27.6776161666381	3.81513306242749	8.48668752109911	0.774989739076988
